2010	H	MEXICANA	MÉXICO	CAMPECHE	2/15/1990	20	EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	2/28/1990	20	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	5/24/1990	20	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	6/20/1990	20	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	6/20/1990	20	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	8/24/1990	20	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	9/6/1990	20	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	9/24/1990	20	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	9/29/1990	20	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	11/5/1990	19	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	12/9/1990	19	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	1/10/1991	19	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	1/28/1991	19	EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	4/19/1991	19	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	7/17/1991	19	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	7/28/1991	19	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	8/29/1991	19	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	11/30/1991	18	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	12/22/1991	18	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	2/9/1992	18	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	6/10/1992	18	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	8/14/1992	18	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	8/23/1992	18	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	9/14/1992	18	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	1/8/1993	17	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	2/7/1993	17	EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	4/9/1993	17	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	4/14/1993	17	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	4/29/1993	17	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	10/31/1993	16	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	11/6/1993	16	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	5/28/1994	16	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	7/22/1994	16	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	3/2/1995	15	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	3/12/1995	15	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	3/15/1995	15	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	6/8/1995	15	EXTERNO
2010	H	MEXICANA	MÉXICO	CAMPECHE	8/8/1995	15	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	10/19/1950	59	COMPLETO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/11/1966	44	COMPLETO
2010	H	MEXICANA	MÉXICO	CHIAPAS	2/24/1967	43	COMPLETO
2010	H	MEXICANA	MÉXICO	CHIAPAS	6/4/1971	39	COMPLETO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/20/1975	34	COMPLETO
2010	H	MEXICANA	MÉXICO	CHIAPAS	6/10/1976	34	COMPLETO
2010	H	MEXICANA	MÉXICO	CHIAPAS	8/14/1977	33	COMPLETO
2010	H	MEXICANA	MÉXICO	CHIAPAS	7/17/1979	31	COMPLETO
2010	H	MEXICANA	MÉXICO	CHIAPAS	10/7/1980	29	COMPLETO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/30/1981	29	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	4/20/1982	28	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	7/16/1983	27	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	8/20/1983	27	COMPLETO
2010	H	MEXICANA	MÉXICO	CHIAPAS	4/16/1984	26	COMPLETO
2010	H	MEXICANA	MÉXICO	CHIAPAS	7/16/1984	26	COMPLETO
2010	H	MEXICANA	MÉXICO	CHIAPAS	9/18/1984	26	COMPLETO
2010	H	MEXICANA	MÉXICO	CHIAPAS	10/18/1984	25	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	12/26/1984	25	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	5/22/1985	25	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	5/28/1985	25	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	7/27/1985	25	EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	8/14/1985	25	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	10/20/1985	24	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/7/1985	24	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	11/16/1985	24	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/24/1986	24	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	1/29/1986	24	COMPLETO
2010	H	MEXICANA	MÉXICO	CHIAPAS	2/10/1986	24	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	2/13/1986	24	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	3/2/1986	24	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	3/20/1986	24	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	4/1/1986	24	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	4/10/1986	24	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	4/11/1986	24	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	4/29/1986	24	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	5/16/1986	24	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	5/24/1986	24	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	6/6/1986	24	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	CHIAPAS	7/16/1986	24	COMPLETO
2010	H	MEXICANA	MÉXICO	CHIAPAS	8/19/1986	24	COMPLETO
